ID,hcscore,year,Codable,Rand_ord,gender,race,education,pwb_pmean,pwb_pmc,pwb_z,neur,extra,consc,agree,open,neur_z,extra_z,consc_z,agree_z,open_z,lgs_m,lgs._t,iwah_a,iwah_c,iwah_w,iwah_m,income,psm_m,ag_m,con_m,ext_m,neuro_m,open_m
3,NA,1,1,0.622156323,1,1,4,5.08994709,-0.066137566,0.188785703,1.916666667,3.611111111,4.027777778,3.916666667,3.333333333,-0.616286105,0.32623123,0.247891287,-0.030139717,-0.334406039,1.85,37,NA,NA,NA,NA,9,3.83333333,3.83333333,4,3.66666667,1.75,3.25
3,NA,2,1,0.889212547,1,NA,NA,5.08994709,-0.328042328,-0.197157538,1.916666667,3.611111111,4.027777778,3.916666667,3.333333333,-0.616286105,0.32623123,0.247891287,-0.030139717,-0.334406039,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
3,NA,3,1,0.371262012,1,NA,NA,5.08994709,-0.018518519,0.258957201,1.916666667,3.611111111,4.027777778,3.916666667,3.333333333,-0.616286105,0.32623123,0.247891287,-0.030139717,-0.334406039,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
3,NA,4,1,0.903701808,1,NA,NA,5.08994709,-0.304232804,-0.162071789,1.916666667,3.611111111,4.027777778,3.916666667,3.333333333,-0.616286105,0.32623123,0.247891287,-0.030139717,-0.334406039,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
3,NA,5,1,0.684534967,1,NA,NA,5.08994709,0.171957672,0.539643194,1.916666667,3.611111111,4.027777778,3.916666667,3.333333333,-0.616286105,0.32623123,0.247891287,-0.030139717,-0.334406039,1.95,39,NA,NA,NA,NA,10,NA,3.91666667,3.91666667,3.5,2,3.16666667
3,NA,6,1,0.585462096,1,NA,NA,5.08994709,0.005291005,0.29404295,1.916666667,3.611111111,4.027777778,3.916666667,3.333333333,-0.616286105,0.32623123,0.247891287,-0.030139717,-0.334406039,NA,NA,3.222222222,3.777777778,3,3.333333333,12,NA,NA,NA,NA,NA,NA
3,NA,7,1,0.291630793,1,NA,NA,5.08994709,0.148148148,0.504557445,1.916666667,3.611111111,4.027777778,3.916666667,3.333333333,-0.616286105,0.32623123,0.247891287,-0.030139717,-0.334406039,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
3,NA,8,1,0.521887924,1,NA,NA,5.08994709,0.21957672,0.609814693,1.916666667,3.611111111,4.027777778,3.916666667,3.333333333,-0.616286105,0.32623123,0.247891287,-0.030139717,-0.334406039,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
3,NA,9,1,0.859380978,1,NA,NA,5.08994709,0.171957672,0.539643194,1.916666667,3.611111111,4.027777778,3.916666667,3.333333333,-0.616286105,0.32623123,0.247891287,-0.030139717,-0.334406039,1.9,38,NA,NA,NA,NA,12,NA,4,4.16666667,3.66666667,2,3.58333333
4,2,1,1,0.863662909,1,1,3,4.87037037,-0.013227513,-0.056814541,2.555555556,3.555555556,4.027777778,3.527777778,3.027777778,0.384285643,0.212685157,0.247891287,-0.943537245,-0.985339502,1.7,34,NA,NA,NA,NA,4,3.20833333,3.5,4.16666667,3.5,2.66666667,2.91666667
4,2,2,1,0.444029142,1,NA,NA,4.87037037,0.010582011,-0.021728792,2.555555556,3.555555556,4.027777778,3.527777778,3.027777778,0.384285643,0.212685157,0.247891287,-0.943537245,-0.985339502,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
4,2,3,1,0.064812767,1,NA,NA,4.87037037,0.105820106,0.118614204,2.555555556,3.555555556,4.027777778,3.527777778,3.027777778,0.384285643,0.212685157,0.247891287,-0.943537245,-0.985339502,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
4,2,4,1,0.282781277,1,NA,NA,4.87037037,0.12962963,0.153699954,2.555555556,3.555555556,4.027777778,3.527777778,3.027777778,0.384285643,0.212685157,0.247891287,-0.943537245,-0.985339502,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
4,2,5,1,0.514103716,1,NA,NA,4.87037037,-0.084656085,-0.162071789,2.555555556,3.555555556,4.027777778,3.527777778,3.027777778,0.384285643,0.212685157,0.247891287,-0.943537245,-0.985339502,1.7,34,NA,NA,NA,NA,5,NA,3.41666667,3.83333333,3.58333333,2.66666667,3
4,2,6,1,0.096995353,1,NA,NA,4.87037037,-0.17989418,-0.302414786,2.555555556,3.555555556,4.027777778,3.527777778,3.027777778,0.384285643,0.212685157,0.247891287,-0.943537245,-0.985339502,NA,NA,4,3.666666667,3.777777778,3.814814815,6,NA,NA,NA,NA,NA,NA
4,2,7,1,0.324304114,1,NA,NA,4.87037037,-0.037037037,-0.091900291,2.555555556,3.555555556,4.027777778,3.527777778,3.027777778,0.384285643,0.212685157,0.247891287,-0.943537245,-0.985339502,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
4,2,8,1,0.705784736,1,NA,NA,4.87037037,-0.060846561,-0.12698604,2.555555556,3.555555556,4.027777778,3.527777778,3.027777778,0.384285643,0.212685157,0.247891287,-0.943537245,-0.985339502,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
4,2,9,1,0.133422285,1,NA,NA,4.87037037,0.12962963,0.153699954,2.555555556,3.555555556,4.027777778,3.527777778,3.027777778,0.384285643,0.212685157,0.247891287,-0.943537245,-0.985339502,2.1,42,NA,NA,NA,NA,6,NA,3.66666667,4.08333333,3.58333333,2.33333333,3.16666667
